Name;Region;SignalTicker;TradeTicker_DE;Benchmark
FIRST MAJESTIC SILVER;EU;FMV.F;FMV;EXSA.DE
BASF SE NA O.N.;EU;BAS.F;BAS;EXSA.DE
BAYER AG NA O.N.;EU;BAYN.F;BAYN;EXSA.DE
DEUTSCHE BANK AG NA O.N.;EU;DBK.F;DBK;EXSA.DE
BYD CO. LTD H        YC 1;EU;BY6.F;BY6;EXSA.DE
DT.TELEKOM AG NA;EU;DTE.F;DTE;EXSA.DE
HEIDELBERG MATERIALS O.N.;EU;HEI.F;HEI;EXSA.DE
COVESTRO AG  O.N.;EU;1COV.F;1COV;EXSA.DE
INFINEON TECH.AG NA O.N.;EU;IFX.F;IFX;EXSA.DE
RHEINMETALL AG;EU;RHM.F;RHM;EXSA.DE
RWE AG   INH O.N.;EU;RWE.F;RWE;EXSA.DE
SAP SE O.N.;EU;SAP.F;SAP;EXSA.DE
PAN AMER. SILVER CORP.;EU;PA2.F;PA2;EXSA.DE
SIEMENS AG  NA O.N.;EU;SIE.F;SIE;EXSA.DE
ALLIANZ SE NA O.N.;EU;ALV.F;ALV;EXSA.DE
LVMH               EO 0,3;EU;MOH.F;MOH;EXSA.DE
RIO TINTO PLC      LS-,10;EU;RIO1.F;RIO1;EXSA.DE
ASML HOLDING    EO -,09;EU;ASME.F;ASME;EXSA.DE
ALPHABET INC.CL.A DL-,001;US;ABEA.F;ABEA;SPY
AMAZON.COM INC.    DL-,01;US;AMZ.F;AMZ;SPY
APPLE INC.;US;APC.F;APC;SPY
KGHM POLSKA MIEDZ   ZY 10;EU;KGHA.F;KGHA;EXSA.DE
BERKSH. H.B NEW DL-,00333;US;BRYN.F;BRYN;SPY
META PLATF.  A DL-,000006;US;FB2A.F;FB2A;SPY
NVIDIA CORP.      DL-,001;US;NVD.F;NVD;SPY
MICROSOFT    DL-,00000625;US;MSF.F;MSF;SPY
STRATEGY     A NEW DL-001;US;MIGA.F;MIGA;SPY
MICRON TECHN. INC. DL-,10;US;MTE.F;MTE;SPY
SAMSUNG EL./25 GDRS NV PF;US;SSUN.F;SSUN;SPY
SAMS.EL.0,5SP.GDRS144A/95;US;SSU.F;SSU;SPY
TAIWAN SEMICON.MANU.ADR/5;US;TSFA.F;TSFA;SPY
SIEMENS ENERGY AG NA O.N.;EU;ENR.F;ENR;EXSA.DE
PALANTIR TECHNOLOGIES INC;US;PTX.F;PTX;SPY
SK HYNIX GDR 144A/REGS 1;US;HY9H.F;HY9H;SPY
NOVO-NORDISK AS B  DK 0,1;EU;NOV.F;NOV;EXSA.DE